epoch,acc,dice_coef,loss,lr,val_acc,val_dice_coef,val_loss
0,0.7000956286430359,0.6521341200828552,-3.5352322074890137,0.005,0.575031355575279,0.5426090670956506,-0.4764429090199647
1,0.8641941838264465,0.845691116809845,-4.604343575286865,0.005,0.7042623140193798,0.6808181714128565,-0.6145132916944999
2,0.8900499410629272,0.8745074013710022,-4.763719842529297,0.005,0.7451356746532299,0.7320012582672967,-0.6656129099704601
3,0.9014997099876404,0.8895762079238891,-4.846985858154297,0.005,0.7754069699181451,0.7640582124392191,-0.6976239239728009
4,0.9085142373085022,0.8974972046852112,-4.891094944000244,0.005,0.9146353090250934,0.9029603838920593,-0.8364841297820762
5,0.9213043997764587,0.9099597308158874,-4.9600015594482425,0.005,0.9252229050353721,0.9162536519545096,-0.8497462586120322
6,0.9284831007003784,0.9183827546119689,-5.0065033218383785,0.005,0.9337788864418313,0.9295753412776523,-0.8630501848680002
7,0.9326513906478882,0.9238473098754882,-5.036749983978272,0.005,0.9349207423351429,0.9330615979653818,-0.8665345284673903
8,0.9347697052955627,0.9270133743286133,-5.0542961097717285,0.005,0.9377513104014926,0.9346619394090441,-0.8681421694932161
9,0.9369864844322204,0.9299534785270691,-5.070591474914551,0.005,0.9372639717879119,0.9350659511707448,-0.8685621045253895
10,0.9388951379776,0.9325229950904846,-5.08484541015625,0.005,0.9403576166541489,0.9382228052174604,-0.8717427072701631
11,0.940394501876831,0.9344806569099426,-5.095618389892578,0.005,0.9329512693263866,0.9314564916822645,-0.8650061748645924
12,0.941110356426239,0.9355847632408142,-5.101854290771485,0.005,0.9368888788753086,0.9342690798971388,-0.8678496965655574
13,0.9425599569320678,0.9374134967803955,-5.111994916534424,0.005,0.9406729587802181,0.9390279368118003,-0.8726459481098033
14,0.9435968456268311,0.9387714651107788,-5.119520137786865,0.005,0.9379830453130934,0.9364280453434697,-0.8700880306738394
15,0.9443524621009827,0.9397539299964904,-5.1249947898864745,0.005,0.9420848939153883,0.9405564325827139,-0.8742599023713006
16,0.9451735835075379,0.9408437928199768,-5.131020436859131,0.005,0.9379575985449332,0.936907935584033,-0.8706582475591589
17,0.9448513032913208,0.9406435290336609,-5.129958026885986,0.005,0.9340516293490374,0.9325746862976639,-0.8663660429142139
18,0.946451130771637,0.9424816237449646,-5.140202002716064,0.005,0.9435284354068615,0.9424455823721709,-0.8762876753453855
19,0.9473095494270325,0.943530743598938,-5.1460565574646,0.005,0.944017106073874,0.9428931836728697,-0.8767891512976752
20,0.9479904233932495,0.9443130764961243,-5.150571432495117,0.005,0.9454770035213894,0.9444020681911045,-0.8783535290647436
21,0.9486669836044311,0.945171322441101,-5.155411714935303,0.005,0.9419316327130353,0.9408533078652841,-0.8748623600712528
22,0.9490847527503967,0.9456842180252075,-5.1581254447937015,0.005,0.9360494918293423,0.9347532665288006,-0.8688209083345201
23,0.9494235552787781,0.9461079033851624,-5.160686474609375,0.005,0.9444155070516799,0.943478485389992,-0.8776047176784939
24,0.9500434352874756,0.9468540638923645,-5.164893452453613,0.005,0.9431651318514789,0.9424168229103088,-0.8766040987438626
25,0.9503665522575379,0.9472701342582702,-5.16721024017334,0.005,0.9445475975672404,0.9435584955745273,-0.8778073566931265
26,0.9509328989982605,0.9479024917602539,-5.170677200317383,0.005,0.9442997711676139,0.9434584767730148,-0.87776993115743
27,0.9513892357826232,0.9484480298995972,-5.173806015777588,0.005,0.9442510017642268,0.943587495221032,-0.8779635248360811
28,0.9518781229019165,0.9490018026351928,-5.176878263854981,0.0025,0.9460755339375249,0.9453765409964102,-0.8797884623209635
29,0.9522170725822449,0.9493741826057434,-5.178942745971679,0.0025,0.9450129716484635,0.9442935162120395,-0.8787389976006967
30,0.9524510715484619,0.9496750653266907,-5.180725605773926,0.0025,0.9463755969648008,0.9456525458229913,-0.8801318905971668
31,0.9527247413635254,0.9499556712150574,-5.182097472381592,0.0025,0.9429711681825144,0.942124006041774,-0.8766373643168697
